Nome;Nome fantasia;C.N.P.J.;Endereço;Tipo logradouro;Cidade;Estado;C.E.P.;Telefone;Número;Bairro;Celular;Data de credenciamento;E-mail;Grupo;Classificação;Especialidades;Espec. + Áreas de atuação;Natureza de Atendimento;Regime de Atendimento
3 IRMAOS LABORATORIO DE ANALISES CLINICAS LTDA;LABORATORIO 3 IRMAOS;50.253.124/0001-57;TERESA;RUA;PETROPOLIS;RJ;25625-027;(24)2020-1735;519;ALTO DA SERRA;(24)9932-48481;29/09/2025;labtresirmaos23@gmail.com;Serviço de diagnose ;CLINICA;NUTRICAO;NUTRICAO;Ambulatorial;Eletivo
3 IRMAOS LABORATORIO DE ANALISES CLINICAS LTDA;LABORATORIO 3 IRMAOS;50.253.124/0001-57;TERESA;RUA;PETROPOLIS;RJ;25625-027;(24)2020-1735;519;ALTO DA SERRA;(24)9932-48481;29/09/2025;labtresirmaos23@gmail.com;Serviço de diagnose ;CLINICA;PATOLOGIA;PATOLOGIA;Ambulatorial;Eletivo
3 IRMAOS LABORATORIO DE ANALISES CLINICAS LTDA;LABORATORIO 3 IRMAOS;50.253.124/0001-57;TERESA;RUA;PETROPOLIS;RJ;25625-027;(24)2020-1735;519;ALTO DA SERRA;(24)9932-48481;29/09/2025;labtresirmaos23@gmail.com;Serviço de diagnose ;CLINICA;PATOLOGIA CLINICA/MEDICINA LABORATORIAL;PATOLOGIA CLINICA/MEDICINA LABORATORIAL;Ambulatorial;Eletivo
3 IRMAOS LABORATORIO DE ANALISES CLINICAS LTDA;LABORATORIO 3 IRMAOS;50.253.124/0001-57;TERESA;RUA;PETROPOLIS;RJ;25625-027;(24)2020-1735;519;ALTO DA SERRA;(24)9932-48481;29/09/2025;labtresirmaos23@gmail.com;Serviço de diagnose ;CLINICA;PSICOLOGIA;PSICOLOGIA;Ambulatorial;Eletivo
45921828 LTDA - CLINIC PELVE FISIOTERAPIA PELVICA;CLINIC PELVE FISIOTERAPIA PELVICA;45.921.828/0001-10;VISCONDE DE INHAUMA;RUA;CARUARU;PE;55014-410;(81)9984-31957;951;MAURICIO DE NASSAU;;10/06/2025;clinicpelvdoc24@gmail.com;Serviço de diagnose ;CLINICA;FISIOTERAPIA;FISIOTERAPIA;Ambulatorial;Eletivo
45921828 LTDA - CLINIC PELVE FISIOTERAPIA PELVICA;CLINIC PELVE FISIOTERAPIA PELVICA;45.921.828/0001-10;VISCONDE DE INHAUMA;RUA;CARUARU;PE;55014-410;(81)9984-31957;951;MAURICIO DE NASSAU;;10/06/2025;credenciamentofaturamento24@gmail.com;Serviço de diagnose ;CLINICA;FISIOTERAPIA;FISIOTERAPIA;Ambulatorial;Eletivo
4DCLINIC SERVICOS MEDICOS LTDA;4DCLINIC SERVICOS MEDICOS;46.928.603/0001-59;GERMANO PETERSEN JUNIOR;RUA;PORTO ALEGRE;RS;90540-140;(51)9945-55827;448;AUXILIADORA;;13/10/2025;clinic4d.recepcao@hotmail.com;Clínica;CLINICA;CARDIOLOGIA;CARDIOLOGIA;Ambulatorial;Eletivo
4DCLINIC SERVICOS MEDICOS LTDA;4DCLINIC SERVICOS MEDICOS;46.928.603/0001-59;GERMANO PETERSEN JUNIOR;RUA;PORTO ALEGRE;RS;90540-140;(51)9945-55827;448;AUXILIADORA;;13/10/2025;clinic4d.recepcao@hotmail.com;Clínica;CLINICA;CLINICA MEDICA;CLINICA MEDICA;Ambulatorial;Eletivo
4DCLINIC SERVICOS MEDICOS LTDA;4DCLINIC SERVICOS MEDICOS;46.928.603/0001-59;GERMANO PETERSEN JUNIOR;RUA;PORTO ALEGRE;RS;90540-140;(51)9945-55827;448;AUXILIADORA;;13/10/2025;clinic4d.recepcao@hotmail.com;Clínica;CLINICA;ENDOCRINOLOGIA E METABOLOGIA;ENDOCRINOLOGIA E METABOLOGIA;Ambulatorial;Eletivo
4DCLINIC SERVICOS MEDICOS LTDA;4DCLINIC SERVICOS MEDICOS;46.928.603/0001-59;GERMANO PETERSEN JUNIOR;RUA;PORTO ALEGRE;RS;90540-140;(51)9945-55827;448;AUXILIADORA;;13/10/2025;clinic4d.recepcao@hotmail.com;Clínica;CLINICA;GERIATRIA;GERIATRIA;Ambulatorial;Eletivo
4DCLINIC SERVICOS MEDICOS LTDA;4DCLINIC SERVICOS MEDICOS;46.928.603/0001-59;GERMANO PETERSEN JUNIOR;RUA;PORTO ALEGRE;RS;90540-140;(51)9945-55827;448;AUXILIADORA;;13/10/2025;clinic4d.recepcao@hotmail.com;Clínica;CLINICA;GINECOLOGIA E OBSTETRICIA;GINECOLOGIA E OBSTETRICIA;Ambulatorial;Eletivo
4DCLINIC SERVICOS MEDICOS LTDA;4DCLINIC SERVICOS MEDICOS;46.928.603/0001-59;GERMANO PETERSEN JUNIOR;RUA;PORTO ALEGRE;RS;90540-140;(51)9945-55827;448;AUXILIADORA;;13/10/2025;clinic4d.recepcao@hotmail.com;Clínica;CLINICA;NEFROLOGIA;NEFROLOGIA;Ambulatorial;Eletivo
4DCLINIC SERVICOS MEDICOS LTDA;4DCLINIC SERVICOS MEDICOS;46.928.603/0001-59;GERMANO PETERSEN JUNIOR;RUA;PORTO ALEGRE;RS;90540-140;(51)9945-55827;448;AUXILIADORA;;13/10/2025;clinic4d.recepcao@hotmail.com;Clínica;CLINICA;NEUROLOGIA;NEUROLOGIA;Ambulatorial;Eletivo
4DCLINIC SERVICOS MEDICOS LTDA;4DCLINIC SERVICOS MEDICOS;46.928.603/0001-59;GERMANO PETERSEN JUNIOR;RUA;PORTO ALEGRE;RS;90540-140;(51)9945-55827;448;AUXILIADORA;;13/10/2025;clinic4d.recepcao@hotmail.com;Clínica;CLINICA;NEUROLOGIA;NEUROLOGIA;Ambulatorial;Eletivo
54.256.563 AMANDA RAQUEL NOVAES GOMES;ESPACO ACOLHER;54.256.563/0001-74;CORONEL CORNELIO SOARES;RUA;SERRA TALHADA;PE;56903-440;(87)9885-78212;734;CENTRO;;01/10/2025;brunacarlayeshua@gmail.com;Serviço de diagnose ;CLINICA;FONOAUDIOLOGIA;FONOAUDIOLOGIA;Ambulatorial;Eletivo
54.256.563 AMANDA RAQUEL NOVAES GOMES;ESPACO ACOLHER;54.256.563/0001-74;CORONEL CORNELIO SOARES;RUA;SERRA TALHADA;PE;56903-440;(87)9885-78212;734;CENTRO;;01/10/2025;brunacarlayeshua@gmail.com;Serviço de diagnose ;CLINICA;NUTRICAO;NUTRICAO;Ambulatorial;Eletivo
54.256.563 AMANDA RAQUEL NOVAES GOMES;ESPACO ACOLHER;54.256.563/0001-74;CORONEL CORNELIO SOARES;RUA;SERRA TALHADA;PE;56903-440;(87)9885-78212;734;CENTRO;;01/10/2025;brunacarlayeshua@gmail.com;Serviço de diagnose ;CLINICA;PSICOLOGIA;PSICOLOGIA;Ambulatorial;Eletivo
54.256.563 AMANDA RAQUEL NOVAES GOMES;ESPACO ACOLHER;54.256.563/0001-74;CORONEL CORNELIO SOARES;RUA;SERRA TALHADA;PE;56903-440;(87)9885-78212;734;CENTRO;;01/10/2025;brunacarlayeshua@gmail.com;Serviço de diagnose ;CLINICA;TERAPIA OCUPACIONAL;TERAPIA OCUPACIONAL;Ambulatorial;Eletivo
54.256.563 AMANDA RAQUEL NOVAES GOMES;ESPACO ACOLHER;54.256.563/0001-74;CORONEL CORNELIO SOARES;RUA;SERRA TALHADA;PE;56903-440;(87)9885-78212;734;CENTRO;;01/10/2025;brunacarlayeshua@gmail.com;Serviço de diagnose ;CLINICA;TERAPIA OCUPACIONAL;TERAPIA OCUPACIONAL;Ambulatorial;Eletivo
7 ESTIMULOS TERAPIAS INTEGRADAS LTDA;7 ESTIMULOS TERAPIAS INTEGRADAS;39.849.669/0001-98;ANTONIO LUMACK DO MONTE;RUA;RECIFE;PE;51020-350;(81)9924-48100;128;BOA VIAGEM;;25/10/2024;seteestimulos@hotmail.com;Serviço de diagnose ;CLINICA;FISIOTERAPIA;FISIOTERAPIA;Ambulatorial;Eletivo
7 ESTIMULOS TERAPIAS INTEGRADAS LTDA;7 ESTIMULOS TERAPIAS INTEGRADAS;39.849.669/0001-98;ANTONIO LUMACK DO MONTE;RUA;RECIFE;PE;51020-350;(81)9924-48100;128;BOA VIAGEM;;25/10/2024;genilda.mgconsultoria@gmail.com;Serviço de diagnose ;CLINICA;FONOAUDIOLOGIA;FONOAUDIOLOGIA;Ambulatorial;Eletivo
7 ESTIMULOS TERAPIAS INTEGRADAS LTDA;7 ESTIMULOS TERAPIAS INTEGRADAS;39.849.669/0001-98;ANTONIO LUMACK DO MONTE;RUA;RECIFE;PE;51020-350;(81)9924-48100;128;BOA VIAGEM;;25/10/2024;seteestimulos@hotmail.com;Serviço de diagnose ;CLINICA;PSICOLOGIA;PSICOLOGIA;Ambulatorial;Eletivo
7 ESTIMULOS TERAPIAS INTEGRADAS LTDA;7 ESTIMULOS TERAPIAS INTEGRADAS;39.849.669/0001-98;ANTONIO LUMACK DO MONTE;RUA;RECIFE;PE;51020-350;(81)9924-48100;128;BOA VIAGEM;;25/10/2024;seteestimulos@hotmail.com;Serviço de diagnose ;CLINICA;TERAPIA OCUPACIONAL;TERAPIA OCUPACIONAL;Ambulatorial;Eletivo
7 ESTIMULOS TERAPIAS INTEGRADAS LTDA;7 ESTIMULOS TERAPIAS INTEGRADAS;39.849.669/0001-98;ANTONIO LUMACK DO MONTE;RUA;RECIFE;PE;51020-350;(81)9924-48100;128;BOA VIAGEM;;25/10/2024;seteestimulos@hotmail.com;Serviço de diagnose ;CLINICA;TERAPIA OCUPACIONAL;TERAPIA OCUPACIONAL;Ambulatorial;Eletivo
A A LIMA DOS SANTOS;A SAUDE;59.415.550/0001-14;CONEGO HUGO;RUA;SENHOR DO BONFIM;BA;48970-000;(74)9810-56996;119;CENTRO;;21/05/2025;carlosnetoadvocacia@gmail.com;Serviço de diagnose ;CLINICA;FISIOTERAPIA;FISIOTERAPIA;Ambulatorial;Eletivo
A A LIMA DOS SANTOS;A SAUDE;59.415.550/0001-14;CONEGO HUGO;RUA;SENHOR DO BONFIM;BA;48970-000;(74)9810-56996;119;CENTRO;;21/05/2025;ayrtton.anacleto@gmail.com;Serviço de diagnose ;CLINICA;FONOAUDIOLOGIA;FONOAUDIOLOGIA;Ambulatorial;Eletivo
A A LIMA DOS SANTOS;A SAUDE;59.415.550/0001-14;CONEGO HUGO;RUA;SENHOR DO BONFIM;BA;48970-000;(74)9810-56996;119;CENTRO;;21/05/2025;ayrtton.anacleto@gmail.com;Serviço de diagnose ;CLINICA;NUTRICAO;NUTRICAO;Ambulatorial;Eletivo
A A LIMA DOS SANTOS;A SAUDE;59.415.550/0001-14;CONEGO HUGO;RUA;SENHOR DO BONFIM;BA;48970-000;(74)9810-56996;119;CENTRO;;21/05/2025;ayrtton.anacleto@gmail.com;Serviço de diagnose ;CLINICA;PSICOLOGIA;PSICOLOGIA;Ambulatorial;Eletivo
A A LIMA DOS SANTOS;A SAUDE;59.415.550/0001-14;CONEGO HUGO;RUA;SENHOR DO BONFIM;BA;48970-000;(74)9810-56996;119;CENTRO;;21/05/2025;ayrtton.anacleto@gmail.com;Serviço de diagnose ;CLINICA;TERAPIA OCUPACIONAL;TERAPIA OCUPACIONAL;Ambulatorial;Eletivo
A A LIMA DOS SANTOS;A SAUDE;59.415.550/0001-14;CONEGO HUGO;RUA;SENHOR DO BONFIM;BA;48970-000;(74)9810-56996;119;CENTRO;;21/05/2025;ayrtton.anacleto@gmail.com;Serviço de diagnose ;CLINICA;TERAPIA OCUPACIONAL;TERAPIA OCUPACIONAL;Ambulatorial;Eletivo
A ALPHALABS DIAGNOSTICOS E VACINAS LTDA;ALPHALABS DIAGNOSTICOS;41.893.115/0001-30;TOPAZIO;RUA;COTIA;SP;06717-235;(11)4240-5100;99;JARDIM NOMURA;;29/07/2025;alphalabsdiagnosticos@gmail.com;Serviço de diagnose ;CLINICA;PATOLOGIA;PATOLOGIA;Ambulatorial;Eletivo
A ALPHALABS DIAGNOSTICOS E VACINAS LTDA;ALPHALABS DIAGNOSTICOS;41.893.115/0001-30;TOPAZIO;RUA;COTIA;SP;06717-235;(11)4240-5100;99;JARDIM NOMURA;;29/07/2025;alphalabsdiagnosticos@gmail.com;Serviço de diagnose ;CLINICA;PATOLOGIA CLINICA/MEDICINA LABORATORIAL;PATOLOGIA CLINICA/MEDICINA LABORATORIAL;Ambulatorial;Eletivo
A ALPHALABS DIAGNOSTICOS E VACINAS LTDA;ALPHALABS DIAGNOSTICOS;41.893.115/0001-30;TOPAZIO;RUA;COTIA;SP;06717-235;(11)4240-5100;99;JARDIM NOMURA;;29/07/2025;alphalabsdiagnosticos@gmail.com;Serviço de diagnose ;CLINICA;RADIOLOGIA E DIAGNOSTICO POR IMAGEM ;RADIOLOGIA E DIAGNOSTICO POR IMAGEM  - MAMOGRAFIA;Ambulatorial;Eletivo
A ALPHALABS DIAGNOSTICOS E VACINAS LTDA;ALPHALABS DIAGNOSTICOS;41.893.115/0001-30;TOPAZIO;RUA;COTIA;SP;06717-235;(11)4240-5100;99;JARDIM NOMURA;;29/07/2025;alphalabsdiagnosticos@gmail.com;Serviço de diagnose ;CLINICA;RADIOLOGIA E DIAGNOSTICO POR IMAGEM ;RADIOLOGIA E DIAGNOSTICO POR IMAGEM  - ULTRASSONOGRAFIA EM GINECOLOGIA E OBSTETRICIA;Ambulatorial;Eletivo
A C DA COSTA REINALDO SERVICOS PSICOLOGICOS;ESPACO EVOLUIR;54.640.307/0001-86;PAINEIRA;RUA;ARIQUEMES;RO;76870-107;(69)9938-16902;1576;SETOR 1;;12/09/2025;psianareinaldo@gmail.com;Serviço de diagnose ;CLINICA;FISIOTERAPIA;FISIOTERAPIA;Ambulatorial;Eletivo
